DestinationMacAddr,SourceMacAddr,SourceIPAddr,DestinationIPAddr,SourcePort,DestinationPort
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,34.215.75.150,62108,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,34.215.75.150,192.168.43.33,443,62108
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,34.215.75.150,62108,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.157.234.37,192.168.43.33,443,62106
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.157.234.37,192.168.43.33,443,62106
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,18.237.158.96,192.168.43.33,443,62090
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,18.237.158.96,62090,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,18.237.158.96,62090,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.157.234.37,62106,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,35.164.80.106,192.168.43.33,443,62107
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,35.164.80.106,62107,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,35.164.80.106,192.168.43.33,443,62107
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,35.164.80.106,62107,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,34.215.75.150,192.168.43.33,443,62108
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,34.215.75.150,62108,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,18.237.158.96,192.168.43.33,443,62090
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,18.237.158.96,192.168.43.33,443,62090
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,62031,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,49689,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,,,62031,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,,,49689,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,,,53,62031
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,62031
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,,,53,49689
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,49689
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,53923,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,53923
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,54676,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,54676
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,74.125.24.189,192.168.43.33,443,61958
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,74.125.24.189,61958,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.114.16.35,62097,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.114.16.35,192.168.43.33,443,62097
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,34.215.75.150,62108,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,34.215.75.150,62108,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,34.215.75.150,192.168.43.33,443,62108
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,34.215.75.150,192.168.43.33,443,62108
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,34.215.75.150,192.168.43.33,443,62108
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,34.215.75.150,62108,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,34.215.75.150,192.168.43.33,443,62108
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,50588,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,59285,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,50588
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62109,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,59285
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,59722,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,59722
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62109
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62109,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62109,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62109,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,172.217.166.36,62110,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,172.217.166.36,192.168.43.33,443,62109
